"check_in_date_id","check_in_date_date"
"3","2020-04-27"
"4","2020-05-04"
"5","2020-05-11"
"6","2020-05-18"
"7","2020-05-25"
"8","2020-05-31"
"9","2020-06-08"
"10","2020-06-15"
"11","2020-06-22"
"12","2020-06-29"
"14","2020-07-19"
"15","2020-08-02"
"16","2020-08-16"
"17","2020-09-06"
"18","2020-09-20"
"19","2020-10-04"
"20","2020-10-18"
"21","2020-11-01"
"22","2020-11-15"
"23","2020-12-06"
"24","2020-12-20"
"25","2021-01-03"
"26","2021-01-17"
"1","2021-02-07"
"2","2021-02-21"
"35","2021-03-07"
"36","2021-03-21"
"38","2021-04-04"
"39","2021-04-18"
"40","2021-05-02"
"41","2021-05-16"
"42","2021-06-06"
"43","2021-06-20"
"45","2021-07-18"
"46","2021-08-01"
"47","2021-08-15"
"51","2021-08-29"
"49","2021-09-19"
"50","2021-10-03"
"52","2021-10-17"
"53","2021-11-07"
"54","2021-11-21"
"55","2021-12-05"
"56","2021-12-19"
"64","2022-01-02"
"57","2022-01-23"
"58","2022-02-13"
"59","2022-02-27"
"60","2022-03-13"
"61","2022-03-27"
"62","2022-04-10"
"63","2022-04-24"
"65","2022-05-08"
"66","2022-05-22"
"67","2022-06-12"
"68","2022-06-26"
"69","2022-07-10"
"70","2022-07-24"
"71","2022-09-11"
"72","2022-09-25"
"73","2022-10-09"
"74","2022-10-23"
"79","2022-11-05"
"75","2022-11-13"
"76","2022-11-20"
"77","2022-12-11"
"78","2022-12-18"
"80","2023-01-08"
"82","2023-01-22"
"83","2023-02-12"
"84","2023-02-26"
"85","2023-03-12"
"86","2023-03-26"
"87","2023-04-09"
"88","2023-04-23"
"89","2023-05-07"
"90","2023-05-21"
"91","2023-06-11"
"92","2023-06-25"
"93","2023-07-09"
"94","2023-07-23"
"95","2023-09-10"
"96","2023-09-24"
"97","2023-10-08"
"98","2023-10-22"
"99","2023-11-05"
"100","2023-11-19"
"101","2023-12-03"
"102","2023-12-17"
"103","2024-01-14"
"104","2024-01-28"
"105","2024-02-11"
"106","2024-02-25"
"107","2024-03-10"
"108","2024-03-24"
"109","2024-04-07"
"110","2024-04-21"
"111","2024-05-05"
"112","2024-05-19"
"113","2024-06-09"
"114","2024-06-23"
